Player,IsTop10In3P,No,Team,Games,Min,Pts,Reb,Ast,Stl,Blk,To,Pf,Dreb,Oreb,Fgm-a,Pct,3gm-a,3Pct,Ftm-a,FtPct,Eff,Deff,Year
Lamond Murray,0,22,Cleveland,82,48.40000153,95.30000305,42.09999847,23.10000038,7,5.699999809,13.80000019,21.39999962,30.29999924,11.80000019,36.0-80.3,0.448000014,4.7-12.5,0.377000004,18.6-24.1,0.772000015,109.5,-3.799999952,2001
Michael Redd,0,16,Milwaukee,82,48.5,97.5,41.40000153,22.5,7.300000191,4.699999809,13.60000038,21.79999924,31.20000076,10.30000019,37.1-80.2,0.462000012,7.2-19.3,0.375,16.1-21.5,0.748000026,111.4000015,1,2001
Morris Peterson,0,15,Toronto,87,48.20000076,91,42.09999847,21.70000076,8.399999619,5.5,13.60000038,21.70000076,28.60000038,13.5,35.4-81.8,0.432999998,4.6-13.4,0.34799999,15.5-20.9,0.739000022,103.1999969,1.899999976,2001
Bryon Russell,0,6,Utah,86,48.29999924,95.59999847,42.20000076,24.29999924,9.100000381,6.400000095,15.69999981,24.10000038,28.60000038,13.60000038,34.9-77.8,0.448000014,3.4-10.3,0.331,22.4-29.5,0.759000003,112,8.600000381,2001
Kerry Kittles,0,5,Brooklyn,102,48.40000153,96,43.20000076,23.70000076,8.600000381,5.900000095,14.19999981,21.79999924,30.60000038,12.60000038,36.9-83.1,0.444000006,4.8-14.6,0.326999992,17.6-24.0,0.73299998,110.5999985,9,2001
Dan Majerle,0,18,Phoenix,82,48.40000153,95.09999847,42.70000076,22.39999962,8.199999809,4.900000095,14.19999981,21.79999924,29.60000038,13.10000038,37.8-84.6,0.446999997,4.4-13.4,0.326999992,15.2-19.9,0.76700002,107.5999985,-1.600000024,2001
DerMarr Johnson,0,24,Atlanta,82,48.20000076,94,41.5,20.20000076,8.100000381,4.300000191,14.69999981,20.70000076,29.79999924,11.60000038,35.4-80.6,0.43900001,5.2-14.6,0.354000002,18.1-23.7,0.764999986,102.5999985,-11.60000038,2001
Eddie Griffin,0,26,Houston,82,48.70000076,92.30000305,41.90000153,18.10000038,6.5,5.400000095,13.10000038,18,29.39999962,12.5,34.6-80.8,0.428000003,6.0-18.0,0.335000008,17.1-23.1,0.740999997,99,-14.69999981,2001
Lindsey Hunter,0,1,L.A.Lakers,101,48.20000076,100.5999985,44.5,22.29999924,7.5,5.800000191,12.30000019,22.5,32,12.39999962,37.9-82.9,0.458000004,6.2-17.6,0.351000011,18.6-26.4,0.703999996,115.5999985,14,2001
Robert Horry,0,1,L.A.Lakers,101,48.20000076,100.5999985,44.5,22.29999924,7.5,5.800000191,12.30000019,22.5,32,12.39999962,37.9-82.9,0.458000004,6.2-17.6,0.351000011,18.6-26.4,0.703999996,115.5999985,14,2001
George McCloud,0,27,Denver,82,48.29999924,92.19999695,41.79999924,22.20000076,7.5,5.599999905,13.80000019,22.79999924,28.20000076,13.60000038,35.5-83.8,0.423999995,5.2-15.7,0.328999996,15.9-21.4,0.744000018,101.6999969,-14.69999981,2001
Danny Ferry,0,3,San Antonio,92,48.40000153,96.09999847,42.20000076,19.70000076,7.5,6.5,13.5,19.29999924,31.10000038,11.10000038,35.2-77.4,0.455000013,5.3-14.8,0.358999997,20.3-27.3,0.744000018,109.4000015,11.30000019,2001
Glenn Robinson,0,16,Milwaukee,82,48.5,97.5,41.40000153,22.5,7.300000191,4.699999809,13.60000038,21.79999924,31.20000076,10.30000019,37.1-80.2,0.462000012,7.2-19.3,0.375,16.1-21.5,0.748000026,111.4000015,1,2001
Scottie Pippen*,0,8,Portland,85,48.40000153,96.5,43.09999847,23.39999962,8.600000381,4.400000095,13.60000038,19.89999962,29.89999962,13.19999981,36.4-81.4,0.448000014,5.7-16.1,0.354000002,17.8-23.3,0.764999986,111.8000031,5.5,2001
Terry Porter,0,3,San Antonio,92,48.40000153,96.09999847,42.20000076,19.70000076,7.5,6.5,13.5,19.29999924,31.10000038,11.10000038,35.2-77.4,0.455000013,5.3-14.8,0.358999997,20.3-27.3,0.744000018,109.4000015,11.30000019,2001
Tony Parker,0,3,San Antonio,92,48.40000153,96.09999847,42.20000076,19.70000076,7.5,6.5,13.5,19.29999924,31.10000038,11.10000038,35.2-77.4,0.455000013,5.3-14.8,0.358999997,20.3-27.3,0.744000018,109.4000015,11.30000019,2001
Devean George,0,1,L.A.Lakers,101,48.20000076,100.5999985,44.5,22.29999924,7.5,5.800000191,12.30000019,22.5,32,12.39999962,37.9-82.9,0.458000004,6.2-17.6,0.351000011,18.6-26.4,0.703999996,115.5999985,14,2001
Rick Fox,0,1,L.A.Lakers,101,48.20000076,100.5999985,44.5,22.29999924,7.5,5.800000191,12.30000019,22.5,32,12.39999962,37.9-82.9,0.458000004,6.2-17.6,0.351000011,18.6-26.4,0.703999996,115.5999985,14,2001
Dell Curry,0,15,Toronto,87,48.20000076,91,42.09999847,21.70000076,8.399999619,5.5,13.60000038,21.70000076,28.60000038,13.5,35.4-81.8,0.432999998,4.6-13.4,0.34799999,15.5-20.9,0.739000022,103.1999969,1.899999976,2001
Troy Hudson,0,21,Orlando,86,48.5,100.1999969,41.20000076,21.89999962,8,4.599999905,13.19999981,21,29.79999924,11.39999962,37.4-83.8,0.446999997,7.4-20.1,0.368999988,17.9-23.7,0.754000008,110.5,-3.200000048,2001
Chris Mills,0,25,Golden State,82,48.20000076,97.69999695,46.70000076,20.79999924,7.900000095,6.400000095,16.20000076,23,30.39999962,16.29999924,36.6-85.2,0.42899999,3.9-12.1,0.321999997,20.6-28.6,0.722000003,106.6999969,-13,2001
Corey Maggette,0,19,L.A.Clippers,82,48.29999924,95.69999695,43.40000153,20.89999962,6.199999809,6.599999905,14,19.79999924,30.20000076,13.19999981,36.2-81.3,0.444999993,5.0-14.0,0.356000006,18.3-24.7,0.739000022,107.1999969,-2.400000095,2001
Jumaine Jones,0,22,Cleveland,82,48.40000153,95.30000305,42.09999847,23.10000038,7,5.699999809,13.80000019,21.39999962,30.29999924,11.80000019,36.0-80.3,0.448000014,4.7-12.5,0.377000004,18.6-24.1,0.772000015,109.5,-3.799999952,2001
LaPhonso Ellis,0,14,Miami,82,48.59999847,87.19999695,42,20.29999924,6.699999809,5.5,14.10000038,22.5,31,11,34.2-77.8,0.43900001,3.8-11.0,0.347000003,15.1-20.8,0.723999977,98.19999695,2.5,2001
Jonathan Bender,0,12,Indiana,87,48.59999847,96.5,42.59999847,22.89999962,8,5.199999809,14.69999981,23,31.5,11.19999981,35.7-80.0,0.446999997,4.9-14.4,0.342000008,20.1-26.1,0.771000028,110.4000015,2.799999952,2001
Lucious Harris,0,5,Brooklyn,102,48.40000153,96,43.20000076,23.70000076,8.600000381,5.900000095,14.19999981,21.79999924,30.60000038,12.60000038,36.9-83.1,0.444000006,4.8-14.6,0.326999992,17.6-24.0,0.73299998,110.5999985,9,2001
Óscar Torres,0,26,Houston,82,48.70000076,92.30000305,41.90000153,18.10000038,6.5,5.400000095,13.10000038,18,29.39999962,12.5,34.6-80.8,0.428000003,6.0-18.0,0.335000008,17.1-23.1,0.740999997,99,-14.69999981,2001
Jamaal Tinsley,0,12,Indiana,87,48.59999847,96.5,42.59999847,22.89999962,8,5.199999809,14.69999981,23,31.5,11.19999981,35.7-80.0,0.446999997,4.9-14.4,0.342000008,20.1-26.1,0.771000028,110.4000015,2.799999952,2001
Bryant Stith,0,22,Cleveland,82,48.40000153,95.30000305,42.09999847,23.10000038,7,5.699999809,13.80000019,21.39999962,30.29999924,11.80000019,36.0-80.3,0.448000014,4.7-12.5,0.377000004,18.6-24.1,0.772000015,109.5,-3.799999952,2001
Derrick Coleman,0,13,Philadelphia,87,48.09999847,90.90000153,44,19.89999962,8.600000381,4.400000095,14.30000019,20,30.79999924,13.30000019,34.0-78.2,0.433999985,2.7-9.0,0.300000012,20.2-26.0,0.77700001,103.5999985,2.599999905,2001
Bryce Drew,0,10,Charlotte,91,48.29999924,94.09999847,43.70000076,21.29999924,8.100000381,5.699999809,13.5,21.89999962,30.60000038,13.10000038,35.2-80.3,0.437999994,4.2-12.1,0.349999994,19.5-26.3,0.741999984,107.5,4.800000191,2001
Kobe Bryant*,0,1,L.A.Lakers,101,48.20000076,100.5999985,44.5,22.29999924,7.5,5.800000191,12.30000019,22.5,32,12.39999962,37.9-82.9,0.458000004,6.2-17.6,0.351000011,18.6-26.4,0.703999996,115.5999985,14,2001
Steve Kerr,0,8,Portland,85,48.40000153,96.5,43.09999847,23.39999962,8.600000381,4.400000095,13.60000038,19.89999962,29.89999962,13.19999981,36.4-81.4,0.448000014,5.7-16.1,0.354000002,17.8-23.3,0.764999986,111.8000031,5.5,2001
Andrei Kirilenko,0,6,Utah,86,48.29999924,95.59999847,42.20000076,24.29999924,9.100000381,6.400000095,15.69999981,24.10000038,28.60000038,13.60000038,34.9-77.8,0.448000014,3.4-10.3,0.331,22.4-29.5,0.759000003,112,8.600000381,2001
Rodney Buford,0,28,Memphis,82,48.20000076,89.90000153,41.40000153,21.70000076,7.900000095,5.900000095,15.69999981,19.20000076,29.39999962,12,34.8-79.7,0.43599999,4.1-13.4,0.307000011,16.3-23.0,0.708000004,99.59999847,-16.89999962,2001
Fred Hoiberg,0,29,Chicago,82,48.29999924,89.5,40,22.20000076,7.699999809,4.400000095,14.30000019,22.39999962,28.79999924,11.30000019,34.3-79.2,0.432999998,3.7-10.6,0.345999986,17.2-23.9,0.722000003,98,-18.39999962,2001
Richard Hamilton,0,20,Washington,82,48.09999847,92.80000305,42,20.89999962,7,4.300000191,12.19999981,21.5,29.20000076,12.89999962,35.8-81.3,0.441000015,3.7-9.6,0.388000011,17.4-22.8,0.764999986,104.0999985,-2.900000095,2001
Matt Harpring,0,13,Philadelphia,87,48.09999847,90.90000153,44,19.89999962,8.600000381,4.400000095,14.30000019,20,30.79999924,13.30000019,34.0-78.2,0.433999985,2.7-9.0,0.300000012,20.2-26.0,0.77700001,103.5999985,2.599999905,2001
John Stockton*,0,6,Utah,86,48.29999924,95.59999847,42.20000076,24.29999924,9.100000381,6.400000095,15.69999981,24.10000038,28.60000038,13.60000038,34.9-77.8,0.448000014,3.4-10.3,0.331,22.4-29.5,0.759000003,112,8.600000381,2001
Mitch Richmond*,0,1,L.A.Lakers,101,48.20000076,100.5999985,44.5,22.29999924,7.5,5.800000191,12.30000019,22.5,32,12.39999962,37.9-82.9,0.458000004,6.2-17.6,0.351000011,18.6-26.4,0.703999996,115.5999985,14,2001
Jacque Vaughn,0,24,Atlanta,82,48.20000076,94,41.5,20.20000076,8.100000381,4.300000191,14.69999981,20.70000076,29.79999924,11.60000038,35.4-80.6,0.43900001,5.2-14.6,0.354000002,18.1-23.7,0.764999986,102.5999985,-11.60000038,2001
Vonteego Cummings,0,13,Philadelphia,87,48.09999847,90.90000153,44,19.89999962,8.600000381,4.400000095,14.30000019,20,30.79999924,13.30000019,34.0-78.2,0.433999985,2.7-9.0,0.300000012,20.2-26.0,0.77700001,103.5999985,2.599999905,2001
Michael Jordan*,0,20,Washington,82,48.09999847,92.80000305,42,20.89999962,7,4.300000191,12.19999981,21.5,29.20000076,12.89999962,35.8-81.3,0.441000015,3.7-9.6,0.388000011,17.4-22.8,0.764999986,104.0999985,-2.900000095,2001
Terence Morris,0,26,Houston,82,48.70000076,92.30000305,41.90000153,18.10000038,6.5,5.400000095,13.10000038,18,29.39999962,12.5,34.6-80.8,0.428000003,6.0-18.0,0.335000008,17.1-23.1,0.740999997,99,-14.69999981,2001
Kenyon Martin,0,5,Brooklyn,102,48.40000153,96,43.20000076,23.70000076,8.600000381,5.900000095,14.19999981,21.79999924,30.60000038,12.60000038,36.9-83.1,0.444000006,4.8-14.6,0.326999992,17.6-24.0,0.73299998,110.5999985,9,2001
Karl Malone*,0,6,Utah,86,48.29999924,95.59999847,42.20000076,24.29999924,9.100000381,6.400000095,15.69999981,24.10000038,28.60000038,13.60000038,34.9-77.8,0.448000014,3.4-10.3,0.331,22.4-29.5,0.759000003,112,8.600000381,2001
Sam Mitchell,0,4,Minnesota,85,48.29999924,99.40000153,44.29999924,24,6.400000095,5.099999905,13.10000038,21.39999962,31.39999962,13,38.6-83.9,0.460000008,4.8-12.8,0.379000008,17.3-21.9,0.792999983,116.4000015,9.699999809,2001
Popeye Jones,0,20,Washington,82,48.09999847,92.80000305,42,20.89999962,7,4.300000191,12.19999981,21.5,29.20000076,12.89999962,35.8-81.3,0.441000015,3.7-9.6,0.388000011,17.4-22.8,0.764999986,104.0999985,-2.900000095,2001
Michael Curry,0,11,Detroit,92,48,93.09999847,38.59999847,21.20000076,7.800000191,6.800000191,13.80000019,20.70000076,28.79999924,9.800000191,34.1-76.5,0.44600001,7.0-18.9,0.372999996,17.8-23.7,0.753000021,105.5,3.700000048,2001
Kendall Gill,0,14,Miami,82,48.59999847,87.19999695,42,20.29999924,6.699999809,5.5,14.10000038,22.5,31,11,34.2-77.8,0.43900001,3.8-11.0,0.347000003,15.1-20.8,0.723999977,98.19999695,2.5,2001
Marcus Fizer,0,29,Chicago,82,48.29999924,89.5,40,22.20000076,7.699999809,4.400000095,14.30000019,22.39999962,28.79999924,11.30000019,34.3-79.2,0.432999998,3.7-10.6,0.345999986,17.2-23.9,0.722000003,98,-18.39999962,2001
Alton Ford,0,18,Phoenix,82,48.40000153,95.09999847,42.70000076,22.39999962,8.199999809,4.900000095,14.19999981,21.79999924,29.60000038,13.10000038,37.8-84.6,0.446999997,4.4-13.4,0.326999992,15.2-19.9,0.76700002,107.5999985,-1.600000024,2001
Danny Fortson,0,25,Golden State,82,48.20000076,97.69999695,46.70000076,20.79999924,7.900000095,6.400000095,16.20000076,23,30.39999962,16.29999924,36.6-85.2,0.42899999,3.9-12.1,0.321999997,20.6-28.6,0.722000003,106.6999969,-13,2001
Jeff Foster,0,12,Indiana,87,48.59999847,96.5,42.59999847,22.89999962,8,5.199999809,14.69999981,23,31.5,11.19999981,35.7-80.0,0.446999997,4.9-14.4,0.342000008,20.1-26.1,0.771000028,110.4000015,2.799999952,2001
Brian Grant,0,14,Miami,82,48.59999847,87.19999695,42,20.29999924,6.699999809,5.5,14.10000038,22.5,31,11,34.2-77.8,0.43900001,3.8-11.0,0.347000003,15.1-20.8,0.723999977,98.19999695,2.5,2001
Horace Grant,0,21,Orlando,86,48.5,100.1999969,41.20000076,21.89999962,8,4.599999905,13.19999981,21,29.79999924,11.39999962,37.4-83.8,0.446999997,7.4-20.1,0.368999988,17.9-23.7,0.754000008,110.5,-3.200000048,2001
Lawrence Funderburke,0,2,Sacramento,98,48.29999924,104,45.29999924,23.29999924,8.800000191,4.599999905,13.5,19.79999924,32.90000153,12.39999962,39.4-84.9,0.463999987,5.2-14.5,0.356000006,20.1-26.9,0.749000013,120.3000031,12.39999962,2001
Darvin Ham,0,16,Milwaukee,82,48.5,97.5,41.40000153,22.5,7.300000191,4.699999809,13.60000038,21.79999924,31.20000076,10.30000019,37.1-80.2,0.462000012,7.2-19.3,0.375,16.1-21.5,0.748000026,111.4000015,1,2001
Erick Dampier,0,25,Golden State,82,48.20000076,97.69999695,46.70000076,20.79999924,7.900000095,6.400000095,16.20000076,23,30.39999962,16.29999924,36.6-85.2,0.42899999,3.9-12.1,0.321999997,20.6-28.6,0.722000003,106.6999969,-13,2001
Vlade Divac*,0,2,Sacramento,98,48.29999924,104,45.29999924,23.29999924,8.800000191,4.599999905,13.5,19.79999924,32.90000153,12.39999962,39.4-84.9,0.463999987,5.2-14.5,0.356000006,20.1-26.9,0.749000013,120.3000031,12.39999962,2001
Eddy Curry,0,29,Chicago,82,48.29999924,89.5,40,22.20000076,7.699999809,4.400000095,14.30000019,22.39999962,28.79999924,11.30000019,34.3-79.2,0.432999998,3.7-10.6,0.345999986,17.2-23.9,0.722000003,98,-18.39999962,2001
Predrag Drobnjak,0,7,Oklahoma City,87,48.29999924,97.09999847,40.29999924,23.10000038,8.199999809,4.5,13.10000038,21.29999924,28.5,11.80000019,38.0-81.4,0.465999991,5.9-15.6,0.379000008,15.3-20.3,0.751999974,111.6999969,5.599999905,2001
Tim Duncan*,0,3,San Antonio,92,48.40000153,96.09999847,42.20000076,19.70000076,7.5,6.5,13.5,19.29999924,31.10000038,11.10000038,35.2-77.4,0.455000013,5.3-14.8,0.358999997,20.3-27.3,0.744000018,109.4000015,11.30000019,2001
Patrick Ewing*,0,21,Orlando,86,48.5,100.1999969,41.20000076,21.89999962,8,4.599999905,13.19999981,21,29.79999924,11.39999962,37.4-83.8,0.446999997,7.4-20.1,0.368999988,17.9-23.7,0.754000008,110.5,-3.200000048,2001
Calbert Cheaney,0,27,Denver,82,48.29999924,92.19999695,41.79999924,22.20000076,7.5,5.599999905,13.80000019,22.79999924,28.20000076,13.60000038,35.5-83.8,0.423999995,5.2-15.7,0.328999996,15.9-21.4,0.744000018,101.6999969,-14.69999981,2001
Cal Bowdler,0,24,Atlanta,82,48.20000076,94,41.5,20.20000076,8.100000381,4.300000191,14.69999981,20.70000076,29.79999924,11.60000038,35.4-80.6,0.43900001,5.2-14.6,0.354000002,18.1-23.7,0.764999986,102.5999985,-11.60000038,2001
Ryan Bowen,0,27,Denver,82,48.29999924,92.19999695,41.79999924,22.20000076,7.5,5.599999905,13.80000019,22.79999924,28.20000076,13.60000038,35.5-83.8,0.423999995,5.2-15.7,0.328999996,15.9-21.4,0.744000018,101.6999969,-14.69999981,2001
Shawn Bradley,0,9,Dallas,90,48.5,105.5999985,42.5,21.89999962,7,4.800000191,11.69999981,22.70000076,31.29999924,11.19999981,39.1-84.8,0.460999995,7.6-20.2,0.377999991,19.7-24.4,0.809000015,119.5999985,4.900000095,2001
Elton Brand,0,19,L.A.Clippers,82,48.29999924,95.69999695,43.40000153,20.89999962,6.199999809,6.599999905,14,19.79999924,30.20000076,13.19999981,36.2-81.3,0.444999993,5.0-14.0,0.356000006,18.3-24.7,0.739000022,107.1999969,-2.400000095,2001
P.J. Brown,0,10,Charlotte,91,48.29999924,94.09999847,43.70000076,21.29999924,8.100000381,5.699999809,13.5,21.89999962,30.60000038,13.10000038,35.2-80.3,0.437999994,4.2-12.1,0.349999994,19.5-26.3,0.741999984,107.5,4.800000191,2001
Ervin Johnson,0,16,Milwaukee,82,48.5,97.5,41.40000153,22.5,7.300000191,4.699999809,13.60000038,21.79999924,31.20000076,10.30000019,37.1-80.2,0.462000012,7.2-19.3,0.375,16.1-21.5,0.748000026,111.4000015,1,2001
Shawn Kemp,0,8,Portland,85,48.40000153,96.5,43.09999847,23.39999962,8.600000381,4.400000095,13.60000038,19.89999962,29.89999962,13.19999981,36.4-81.4,0.448000014,5.7-16.1,0.354000002,17.8-23.3,0.764999986,111.8000031,5.5,2001
John Amaechi,0,6,Utah,86,48.29999924,95.59999847,42.20000076,24.29999924,9.100000381,6.400000095,15.69999981,24.10000038,28.60000038,13.60000038,34.9-77.8,0.448000014,3.4-10.3,0.331,22.4-29.5,0.759000003,112,8.600000381,2001
Steven Hunter,0,21,Orlando,86,48.5,100.1999969,41.20000076,21.89999962,8,4.599999905,13.19999981,21,29.79999924,11.39999962,37.4-83.8,0.446999997,7.4-20.1,0.368999988,17.9-23.7,0.754000008,110.5,-3.200000048,2001
Zydrunas Ilgauskas,0,22,Cleveland,82,48.40000153,95.30000305,42.09999847,23.10000038,7,5.699999809,13.80000019,21.39999962,30.29999924,11.80000019,36.0-80.3,0.448000014,4.7-12.5,0.377000004,18.6-24.1,0.772000015,109.5,-3.799999952,2001
Jerome James,0,7,Oklahoma City,87,48.29999924,97.09999847,40.29999924,23.10000038,8.199999809,4.5,13.10000038,21.29999924,28.5,11.80000019,38.0-81.4,0.465999991,5.9-15.6,0.379000008,15.3-20.3,0.751999974,111.6999969,5.599999905,2001
Stanislav Medvedenko,0,1,L.A.Lakers,101,48.20000076,100.5999985,44.5,22.29999924,7.5,5.800000191,12.30000019,22.5,32,12.39999962,37.9-82.9,0.458000004,6.2-17.6,0.351000011,18.6-26.4,0.703999996,115.5999985,14,2001
Hanno Möttölä,0,24,Atlanta,82,48.20000076,94,41.5,20.20000076,8.100000381,4.300000191,14.69999981,20.70000076,29.79999924,11.60000038,35.4-80.6,0.43900001,5.2-14.6,0.354000002,18.1-23.7,0.764999986,102.5999985,-11.60000038,2001
Anthony Mason,0,16,Milwaukee,82,48.5,97.5,41.40000153,22.5,7.300000191,4.699999809,13.60000038,21.79999924,31.20000076,10.30000019,37.1-80.2,0.462000012,7.2-19.3,0.375,16.1-21.5,0.748000026,111.4000015,1,2001
Tony Massenburg,0,28,Memphis,82,48.20000076,89.90000153,41.40000153,21.70000076,7.900000095,5.900000095,15.69999981,19.20000076,29.39999962,12,34.8-79.7,0.43599999,4.1-13.4,0.307000011,16.3-23.0,0.708000004,99.59999847,-16.89999962,2001
Grant Long,0,28,Memphis,82,48.20000076,89.90000153,41.40000153,21.70000076,7.900000095,5.900000095,15.69999981,19.20000076,29.39999962,12,34.8-79.7,0.43599999,4.1-13.4,0.307000011,16.3-23.0,0.708000004,99.59999847,-16.89999962,2001
Todd MacCulloch,0,5,Brooklyn,102,48.40000153,96,43.20000076,23.70000076,8.600000381,5.900000095,14.19999981,21.79999924,30.60000038,12.60000038,36.9-83.1,0.444000006,4.8-14.6,0.326999992,17.6-24.0,0.73299998,110.5999985,9,2001
Mark Madsen,0,1,L.A.Lakers,101,48.20000076,100.5999985,44.5,22.29999924,7.5,5.800000191,12.30000019,22.5,32,12.39999962,37.9-82.9,0.458000004,6.2-17.6,0.351000011,18.6-26.4,0.703999996,115.5999985,14,2001
Jake Voskuhl,0,18,Phoenix,82,48.40000153,95.09999847,42.70000076,22.39999962,8.199999809,4.900000095,14.19999981,21.79999924,29.60000038,13.10000038,37.8-84.6,0.446999997,4.4-13.4,0.326999992,15.2-19.9,0.76700002,107.5999985,-1.600000024,2001
Samaki Walker,0,1,L.A.Lakers,101,48.20000076,100.5999985,44.5,22.29999924,7.5,5.800000191,12.30000019,22.5,32,12.39999962,37.9-82.9,0.458000004,6.2-17.6,0.351000011,18.6-26.4,0.703999996,115.5999985,14,2001
Monty Williams,0,21,Orlando,86,48.5,100.1999969,41.20000076,21.89999962,8,4.599999905,13.19999981,21,29.79999924,11.39999962,37.4-83.8,0.446999997,7.4-20.1,0.368999988,17.9-23.7,0.754000008,110.5,-3.200000048,2001
Loren Woods,0,4,Minnesota,85,48.29999924,99.40000153,44.29999924,24,6.400000095,5.099999905,13.10000038,21.39999962,31.39999962,13,38.6-83.9,0.460000008,4.8-12.8,0.379000008,17.3-21.9,0.792999983,116.4000015,9.699999809,2001
David Robinson*,0,3,San Antonio,92,48.40000153,96.09999847,42.20000076,19.70000076,7.5,6.5,13.5,19.29999924,31.10000038,11.10000038,35.2-77.4,0.455000013,5.3-14.8,0.358999997,20.3-27.3,0.744000018,109.4000015,11.30000019,2001
Scot Pollard,0,2,Sacramento,98,48.29999924,104,45.29999924,23.29999924,8.800000191,4.599999905,13.5,19.79999924,32.90000153,12.39999962,39.4-84.9,0.463999987,5.2-14.5,0.356000006,20.1-26.9,0.749000013,120.3000031,12.39999962,2001
Rasho Nesterović,0,4,Minnesota,85,48.29999924,99.40000153,44.29999924,24,6.400000095,5.099999905,13.10000038,21.39999962,31.39999962,13,38.6-83.9,0.460000008,4.8-12.8,0.379000008,17.3-21.9,0.792999983,116.4000015,9.699999809,2001
Charles Oakley,0,29,Chicago,82,48.29999924,89.5,40,22.20000076,7.699999809,4.400000095,14.30000019,22.39999962,28.79999924,11.30000019,34.3-79.2,0.432999998,3.7-10.6,0.345999986,17.2-23.9,0.722000003,98,-18.39999962,2001
Hakeem Olajuwon*,0,15,Toronto,87,48.20000076,91,42.09999847,21.70000076,8.399999619,5.5,13.60000038,21.70000076,28.60000038,13.5,35.4-81.8,0.432999998,4.6-13.4,0.34799999,15.5-20.9,0.739000022,103.1999969,1.899999976,2001
Greg Ostertag,0,6,Utah,86,48.29999924,95.59999847,42.20000076,24.29999924,9.100000381,6.400000095,15.69999981,24.10000038,28.60000038,13.60000038,34.9-77.8,0.448000014,3.4-10.3,0.331,22.4-29.5,0.759000003,112,8.600000381,2001
Vladimir Stepania,0,14,Miami,82,48.59999847,87.19999695,42,20.29999924,6.699999809,5.5,14.10000038,22.5,31,11,34.2-77.8,0.43900001,3.8-11.0,0.347000003,15.1-20.8,0.723999977,98.19999695,2.5,2001
Robert Traylor,0,10,Charlotte,91,48.29999924,94.09999847,43.70000076,21.29999924,8.100000381,5.699999809,13.5,21.89999962,30.60000038,13.10000038,35.2-80.3,0.437999994,4.2-12.1,0.349999994,19.5-26.3,0.741999984,107.5,4.800000191,2001
Allan Houston,1,20,New York,82,48.40000153,95.90000153,39.20000076,22,7.099999905,3.099999905,13.60000038,23,29,10.30000019,36.2-82.0,0.441000015,7.4-19.3,0.382999986,16.1-19.8,0.814999998,104.0999985,-5.800000191,2002
